Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,type of activation,n_dense_layers,n_dense_neurons,learning_rate,dropout,fit_batch_size,loss,optimizer,fit_epochs,embedding_vector_length,type_of_model,val_auc,std_val_auc,val_f1,std_val_f1,val_accuracy,std_val_accuracy,val_precision,std_val_precision,val_recall,std_val_recall,val_mcc,std_val_mcc
0,0,155,relu,2,32,0.005,0.0,128,binary_crossentropy,adam,200,8,ANN,0.8475478496887539,0.02783977197340982,0.7694746295998385,0.02427713206614767,0.7679243149573874,0.02477605808671878,0.7448134400894583,0.03860343509654477,0.7992272020113733,0.04909111319777989,0.5400542828628521,0.047519131524593125
1,1,107,relu,1,128,0.005,0.25,128,binary_crossentropy,adam,200,16,ANN,0.8408582307782686,0.024829318704112605,0.7651547288444381,0.029601979775694846,0.7652494457987347,0.028259171298958517,0.743700900075326,0.03533502558735305,0.7899298891816209,0.048904940742648104,0.5333634177228356,0.057717849869434734
2,2,70,relu,1,64,0.001,0.25,64,binary_crossentropy,adam,200,32,ANN,0.8605590386083495,0.024032912777106594,0.7856618989861177,0.032214879950575925,0.782427151030674,0.0323792007065443,0.7538540590640387,0.040821092089257605,0.822569626238208,0.050013624668726823,0.5697093545859307,0.06488267244512544
3,3,8,relu,1,8,0.01,0.25,128,binary_crossentropy,adam,200,32,ANN,0.8368143070678626,0.026199590237016412,0.7510854475098967,0.030829867397648914,0.7484413203462392,0.03319503684235066,0.7237842711572401,0.040374457190314066,0.7814624125127397,0.03189819746061549,0.49962972233254405,0.06597022726140624
4,4,172,relu,2,128,0.001,0.0,64,binary_crossentropy,adam,200,32,ANN,0.8462599520060733,0.026606105030322527,0.7604610436898571,0.028887326553004532,0.7583673261218279,0.025758648640676764,0.7322023856616449,0.02733468182871044,0.7926066643458359,0.04897864436463985,0.5201313797684812,0.05229494468423445
5,5,241,relu,3,8,0.005,0.25,64,binary_crossentropy,adam,200,16,ANN,0.731780909878122,0.16158572563269719,0.45445719931746276,0.39172113531358327,0.6601343976782809,0.12938637325839455,0.4439159367764019,0.38305407911500317,0.4710910861776038,0.41143911659606436,0.316859211368199,0.2735303909213707
6,6,57,relu,1,32,0.01,0.1,32,binary_crossentropy,adam,200,32,ANN,0.8104373981291746,0.024831362379718315,0.7321052276232449,0.03335521373832248,0.7281643375558197,0.0353606436827806,0.7024811202745971,0.039338251446540407,0.7656988851246675,0.04176954069704189,0.4598339182326893,0.07004217075546021
7,7,298,relu,3,32,0.01,0.0,64,binary_crossentropy,adam,200,32,ANN,0.7995439132730782,0.02654621560398372,0.7270711846131236,0.03232013159772354,0.7210155613993661,0.028532378876319656,0.6914023204198512,0.030761598910374895,0.7681822931146784,0.05103425538284481,0.44708344198020344,0.058824141554667454
8,8,39,relu,1,64,0.01,0.1,32,binary_crossentropy,adam,200,16,ANN,0.8209567311766783,0.03165003521503844,0.7407872439159399,0.03998039340066704,0.7381163171184838,0.0351088782151527,0.7117160617001431,0.034241222972499874,0.7754200831559533,0.06979033808720972,0.4809661204098246,0.07265133566984665
9,9,289,relu,3,128,0.05,0.0,64,binary_crossentropy,adam,200,32,ANN,0.5540936705570851,0.11797834292485475,0.14867764471057884,0.31387530647341383,0.5532711877081703,0.08632588444053522,0.13135265700483092,0.27862969551546196,0.17272727272727273,0.3642568402515712,0.08900036075648987,0.1933203310124926
10,10,280,relu,3,128,0.01,0.0,64,binary_crossentropy,adam,200,32,ANN,0.8085626580936425,0.03656235263840646,0.7253208304214865,0.052332134750890026,0.7285974844311405,0.044623357730206405,0.7123926491446961,0.049406925641389224,0.7461282062208956,0.09476966716043232,0.4619696490092785,0.09041498273209878
